Symbol,Price,Price Time,Status,High Date,High,Low Date,Low,Entry Date,Entry,SL,Target,Distance %,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade,Live Grade,Speed Group,Current State,Opportunity,Opportunity Score V3
SUPREMEINF.NS,81.29000091552734,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-09-24,112.0,2026-04-02,58.11000061035156,,100.46754013061523,85.05500030517578,126.0113998413086,19.088293781410066,10.0,8.0,2.0,0.0,10.0,80.0,13.585363868216414,13.585363868216414,8.1,9.125,7.0,4.0,37.5,62.5,100.0,1.677205415829187,83.25,A+,A+,FAST,FAR,WATCH,78.14
GPIL.NS,229.4199981689453,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-05-20,320.0,2026-09-24,228.1000061035156,,300.3334013061524,274.0500030517578,343.8939984130859,23.61156062855617,6.0,5.0,1.0,0.0,6.0,83.33333333333334,11.11873645977498,11.11873645977498,13.666666666666666,16.2,2.0,0.0,60.0,60.0,60.0,0.8135660824225595,86.33,A+,B,FAST,FAR,WATCH,78.05
KAVDEFENCE.NS,82.33999633789062,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-10-01,162.8699951171875,2026-04-01,51.5099983215332,,139.03895580291749,107.18999671936037,191.8235942840576,40.7791896433655,8.0,6.0,1.0,1.0,7.0,85.71428571428571,10.991861296532456,10.991861296532456,16.0,8.0,8.5,19.0,33.33333333333333,66.66666666666666,100.0,0.6869913310332786,84.95,A+,B,MEDIUM,FAR,WATCH,74.16
TATAINVEST.NS,651.5999755859375,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-10-03,1184.699951171875,2026-03-30,538.8499755859375,,1046.4880563964844,861.7749633789062,1352.620944824219,37.73459987401281,6.0,5.0,1.0,0.0,6.0,83.33333333333334,11.7670391819014,11.7670391819014,5.833333333333333,5.8,9.0,4.0,40.0,80.0,100.0,2.017206716897383,85.33,A+,B,MEDIUM,FAR,WATCH,73.7
HFCL.NS,211.2700042724609,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-08-31,256.70001220703125,2026-09-17,205.1000061035156,,245.6576109008789,230.90000915527344,270.1160137939453,13.998184913673663,7.0,6.0,1.0,0.0,7.0,85.71428571428571,14.76930524286144,14.76930524286144,15.428571428571429,16.666666666666668,10.0,8.0,33.33333333333333,50.0,66.66666666666666,0.9572697842595376,83.29,A+,B,MEDIUM,FAR,WATCH,73.58
MAANALU.NS,100.18000030517578,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-12-18,184.7400054931641,2026-09-25,99.8499984741211,,166.57354399108883,142.29500198364258,206.81140731811524,39.85839653472517,15.0,10.0,5.0,0.0,15.0,66.66666666666666,6.65605153906863,6.65605153906863,6.266666666666667,8.7,2.5,0.4,70.0,80.0,80.0,1.0621358838939303,81.57,A+,A+,FAST,FAR,WATCH,73.2
VISACHROME.NS,34.540000915527344,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-10-17,73.68000030517578,2026-04-01,27.049999237060547,,63.70118007659912,50.36499977111816,85.80380058288574,45.77808311558149,7.0,5.0,1.0,1.0,6.0,83.33333333333334,7.935063705315054,7.935063705315054,20.142857142857142,12.0,8.0,21.0,20.0,60.0,80.0,0.3939393328879814,83.23,A+,B,MEDIUM,FAR,WATCH,69.87
BAGFILMS.NS,4.28000020980835,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-12-02,7.590000152587891,2026-03-30,3.609999895095825,,6.738280097484589,5.600000023841858,8.624800219535828,36.48230486283761,6.0,4.0,2.0,0.0,6.0,66.66666666666666,8.521404548738868,8.521404548738868,7.833333333333333,8.5,5.0,6.5,50.0,75.0,75.0,1.087838878562409,81.17,A+,B,FAST,FAR,WATCH,68.86
HUBTOWN.NS,171.6699981689453,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2025-11-18,339.0,2026-03-30,168.14999389648438,,302.4380986938477,253.5749969482422,383.421001586914,43.23797203118792,13.0,8.0,5.0,0.0,13.0,61.53846153846154,9.616694011863832,9.616694011863832,8.153846153846153,10.875,7.5,3.6,37.5,75.0,75.0,1.1794058693795266,77.12,A+,A+,MEDIUM,FAR,WATCH,68.8
BSE.NS,3191.5,2026-09-26T19:22:18.543799+05:30,WAITING FOR 0.786,2026-05-27,4446.7998046875,2026-09-21,3085.10009765625,,4155.396067382812,3765.949951171875,4800.841728515625,23.19625017092298,16.0,10.0,5.0,1.0,15.0,66.66666666666666,5.954366427089175,5.954366427089175,10.6875,8.4,5.5,4.6,50.0,80.0,80.0,0.5571337007802737,77.47,A+,A+,FAST,FAR,WATCH,68.71
