Symbol,Trades,Wins,Losses,Timeouts,Resolved Trades,Win Rate %,Avg Return %,Expectancy %,Avg Holding Days,Avg Win Days,Median Win Days,Avg Loss Days,Fast <=5d %,Fast <=10d %,Fast <=20d %,Return / Day,Quality Score,Grade
OSWALAGRO.NS,8,3,5,0,8,37.5,1.2065203047048236,1.2065203047048236,5.75,2.3333333333333335,2.0,7.2,100.0,100.0,100.0,0.20982961820953455,61.39,B
GRPLTD.NS,20,7,13,0,20,35.0,-0.0787736863248063,-0.0787736863248063,2.4,1.8571428571428572,1.0,1.6153846153846154,100.0,100.0,100.0,-0.03282236930200263,61.38,B
APARINDS.NS,23,9,13,1,22,40.909090909090914,2.4422465117932446,2.4422465117932446,8.434782608695652,9.444444444444445,6.0,2.923076923076923,44.44444444444444,66.66666666666666,88.88888888888889,0.28954468954249807,61.35,B
DIXON.NS,6,2,3,1,5,40.0,0.5250112181064251,0.5250112181064251,20.0,0.0,0.0,18.666666666666668,100.0,100.0,100.0,0.026250560905321258,61.32,B
RECLTD.NS,8,3,4,1,7,42.857142857142854,-0.2387544518414585,-0.2387544518414585,10.125,2.6666666666666665,3.0,2.75,100.0,100.0,100.0,-0.02358068660162553,61.27,B
ADANIENT.NS,8,4,2,2,6,66.66666666666666,2.926999180909689,2.926999180909689,24.125,12.25,13.0,11.0,0.0,25.0,100.0,0.12132639091853632,61.24,B
GLAXO.NS,7,4,3,0,7,57.14285714285714,3.7612900125748565,3.7612900125748565,9.714285714285714,11.75,11.0,6.333333333333333,50.0,50.0,75.0,0.38719161894152937,61.23,B
DRCSYSTEMS.NS,13,5,7,1,12,41.66666666666667,-0.623010032283116,-0.623010032283116,11.846153846153847,2.4,2.0,11.285714285714286,100.0,100.0,100.0,-0.05259175597195135,61.19,B
VADILALIND.NS,12,6,5,1,11,54.54545454545454,7.3755832063255236,7.3755832063255236,17.166666666666668,22.833333333333332,17.0,1.0,16.666666666666664,33.33333333333333,50.0,0.4296456236694479,61.18,B
PATELENG.NS,9,4,5,0,9,44.44444444444444,4.385347593430547,4.385347593430547,11.777777777777779,17.75,10.0,6.6,50.0,50.0,75.0,0.3723408334044804,61.13,B
PREMIERPOL.NS,9,4,5,0,9,44.44444444444444,1.1130020792024808,1.1130020792024808,6.0,4.75,5.5,6.4,50.0,100.0,100.0,0.1855003465337468,61.02,B
KIRLOSENG.NS,16,5,10,1,15,33.33333333333333,1.9383611561843161,1.9383611561843161,8.0625,5.2,4.0,3.5,60.0,80.0,100.0,0.2404168875887524,60.86,B
BLS.NS,10,4,6,0,10,40.0,1.122371242699981,1.122371242699981,5.4,7.75,3.0,3.1666666666666665,75.0,75.0,75.0,0.20784652642592238,60.75,B
GMDCLTD.NS,12,4,7,1,11,36.36363636363637,2.040153103955079,2.040153103955079,13.75,14.25,4.0,6.428571428571429,75.0,75.0,75.0,0.148374771196733,60.73,B
NMDC.NS,17,7,8,2,15,46.666666666666664,-0.01756167202365056,-0.01756167202365056,13.0,8.571428571428571,7.0,4.75,28.57142857142857,85.71428571428571,85.71428571428571,-0.00135089784797312,60.71,B
WALCHANNAG.NS,17,7,10,0,17,41.17647058823529,0.3677292766608651,0.3677292766608651,6.529411764705882,8.0,2.0,5.0,71.42857142857143,71.42857142857143,85.71428571428571,0.056318898227339695,60.69,B
NORBTEAEXP.NS,17,7,10,0,17,41.17647058823529,1.2623031575356458,1.2623031575356458,10.176470588235293,15.285714285714286,5.0,6.1,57.14285714285714,57.14285714285714,71.42857142857143,0.12404135074049699,60.66,B
KALYANKJIL.NS,16,7,9,0,16,43.75,2.5211141008165963,2.5211141008165963,5.8125,10.857142857142858,9.0,1.2222222222222223,14.285714285714285,57.14285714285714,100.0,0.43374006035554347,60.65,B
INNOVANA.NS,14,6,8,0,14,42.857142857142854,-0.22707413201520654,-0.22707413201520654,7.357142857142857,4.333333333333333,1.5,9.25,83.33333333333334,83.33333333333334,100.0,-0.0308644451282805,60.62,B
PASHUPATI.NS,11,6,5,0,11,54.54545454545454,3.3469183766954504,3.3469183766954504,15.0,21.333333333333332,15.0,6.8,16.666666666666664,50.0,50.0,0.2231278917796967,60.55,B
BCLIND.NS,8,4,3,1,7,57.14285714285714,3.313952937988384,3.313952937988384,22.625,15.25,10.5,19.333333333333332,50.0,50.0,75.0,0.14647305803263574,60.54,B
A2ZINFRA.NS,12,5,6,1,11,45.45454545454545,-0.09031084605963857,-0.09031084605963857,14.5,5.8,6.0,13.833333333333334,20.0,100.0,100.0,-0.0062283342110095565,60.54,B
JUBLPHARMA.NS,7,2,3,2,5,40.0,0.011599399515921403,0.011599399515921403,18.571428571428573,2.0,2.0,0.3333333333333333,100.0,100.0,100.0,0.0006245830508573063,60.52,B
DODLA.NS,11,5,6,0,11,45.45454545454545,2.450990116940003,2.450990116940003,8.818181818181818,12.6,10.0,4.833333333333333,40.0,60.0,80.0,0.2779473328488663,60.51,B
BASF.NS,10,4,6,0,10,40.0,-0.6392506298593076,-0.6392506298593076,5.2,3.25,3.0,5.833333333333333,75.0,100.0,100.0,-0.12293281343448223,60.5,B
UTTAMSUGAR.NS,12,5,7,0,12,41.66666666666667,0.2064178225078089,0.2064178225078089,7.083333333333333,5.0,5.0,8.142857142857142,60.0,80.0,100.0,0.02914133964816126,60.49,B
ASHOKLEY.NS,9,3,4,2,7,42.857142857142854,1.3874599741505496,1.3874599741505496,19.333333333333332,13.333333333333334,3.0,2.25,66.66666666666666,66.66666666666666,66.66666666666666,0.07176517107675257,60.48,B
POLYMED.NS,11,5,5,1,10,50.0,1.2405018555097593,1.2405018555097593,13.272727272727273,13.6,8.0,3.0,20.0,60.0,60.0,0.09346246856580379,60.44,B
TEXINFRA.NS,12,5,7,0,12,41.66666666666667,3.3081914513675783,3.3081914513675783,8.583333333333334,12.8,6.0,5.0,40.0,60.0,60.0,0.3854203632661256,60.34,B
EIMCOELECO.NS,19,7,11,1,18,38.88888888888889,-0.19345831648421827,-0.19345831648421827,5.578947368421052,4.714285714285714,2.0,0.5454545454545454,85.71428571428571,85.71428571428571,100.0,-0.03467649069056743,60.32,B
INDIANHUME.NS,8,3,5,0,8,37.5,2.651205731328881,2.651205731328881,6.75,8.0,0.0,5.0,66.66666666666666,66.66666666666666,66.66666666666666,0.3927712194561305,60.31,B
RAIN.NS,6,3,3,0,6,50.0,1.358268000039412,1.358268000039412,18.333333333333332,21.333333333333332,6.0,15.333333333333334,33.33333333333333,66.66666666666666,66.66666666666666,0.07408734545669521,60.29,B
MEDANTA.NS,10,4,6,0,10,40.0,-0.7945490899077525,-0.7945490899077525,9.1,2.75,2.5,12.833333333333334,75.0,100.0,100.0,-0.08731308680304974,60.26,B
SPANDANA.NS,8,3,4,1,7,42.857142857142854,1.230081638867648,1.230081638867648,11.25,4.333333333333333,0.0,3.0,66.66666666666666,66.66666666666666,100.0,0.10934059012156871,60.23,B
YATHARTH.NS,9,3,5,1,8,37.5,2.550251138705212,2.550251138705212,17.11111111111111,21.666666666666668,5.0,5.0,66.66666666666666,66.66666666666666,66.66666666666666,0.1490406509632916,60.15,B
BBOX.NS,13,6,5,2,11,54.54545454545454,0.508343385486964,0.508343385486964,15.461538461538462,8.833333333333334,7.0,4.8,50.0,50.0,83.33333333333334,0.03287793040462951,60.11,B
TIMKEN.NS,13,5,8,0,13,38.46153846153847,0.7516479078096133,0.7516479078096133,4.3076923076923075,6.0,3.0,2.5,80.0,80.0,100.0,0.17448969288437452,60.06,B
