SYMBOL,NIFTY50,FNO,SMALLCAP250,MICROCAP250
CHEMPLASTS,NO,NO,NO,NO
CHENNPETRO,NO,NO,YES,NO
CHEVIOT,NO,NO,NO,NO
CHOICEIN,NO,NO,YES,NO
CHOLAFIN,NO,YES,NO,NO
CHOLAHLDNG,NO,NO,YES,NO
CIEINDIA,NO,NO,YES,NO
CIFL,NO,NO,NO,NO
CINELINE,NO,NO,NO,NO
CINEVISTA,NO,NO,NO,NO
CIPLA,YES,YES,NO,NO
CLEAN,NO,NO,YES,NO
CLEANMAX,NO,NO,NO,NO
CLSEL,NO,NO,NO,NO
CMLL,NO,NO,NO,NO
CMPDI,NO,NO,NO,NO
CMRGREEN,NO,NO,NO,NO
CMSINFO,NO,NO,NO,YES
CNL,NO,NO,NO,NO
COALINDIA,YES,YES,NO,NO
COASTCORP,NO,NO,NO,NO
COCHINSHIP,NO,YES,NO,NO
COCKERILL,NO,NO,NO,NO
COFORGE,NO,YES,NO,NO
COHANCE,NO,NO,YES,NO
COLPAL,NO,YES,NO,NO
COMFINTE,NO,NO,NO,NO
COMPEAU,NO,NO,NO,NO
COMPUSOFT,NO,NO,NO,NO
COMSYN,NO,NO,NO,NO
CONCOR,NO,YES,NO,NO
CONCORDBIO,NO,NO,YES,NO
CONFIPET,NO,NO,NO,NO
CONTROLPR,NO,NO,NO,NO
CORALFINAC,NO,NO,NO,NO
CORDELIA,NO,NO,NO,NO
COROMANDEL,NO,NO,NO,NO
CORONA,NO,NO,NO,YES
COSMOFIRST,NO,NO,NO,NO
CPCAP,NO,NO,NO,NO
CPEDU,NO,NO,NO,NO
CPL,NO,NO,NO,NO
CPPLUS,NO,NO,YES,NO
CRAFTSMAN,NO,NO,YES,NO
CRAMC,NO,NO,NO,YES
CRAVATEX,NO,NO,NO,NO
CREATIVEYE,NO,NO,NO,NO
CREDITACC,NO,NO,YES,NO
CREST,NO,NO,NO,NO
CRISIL,NO,NO,NO,NO
CRIZAC,NO,NO,NO,YES
CROMPTON,NO,YES,YES,NO
CROWN,NO,NO,NO,NO
CRSL,NO,NO,NO,NO
CSBBANK,NO,NO,NO,YES
CSLFINANCE,NO,NO,NO,NO
CSM,NO,NO,NO,NO
CTE,NO,NO,NO,NO
CUB,NO,NO,YES,NO
CUBEXTUB,NO,NO,NO,NO
CUMMINSIND,NO,YES,NO,NO
CUPID,NO,NO,NO,YES
CURAA,NO,NO,NO,NO
CYBERMEDIA,NO,NO,NO,NO
CYIENT,NO,NO,YES,NO
CYIENTDLM,NO,NO,NO,NO
DABUR,NO,YES,NO,NO
DAICHI,NO,NO,NO,NO
DALBHARAT,NO,NO,NO,NO
DALMIASUG,NO,NO,NO,NO
DAMCAPITAL,NO,NO,NO,NO
DANGEE,NO,NO,NO,NO
DATAMATICS,NO,NO,NO,YES
DATAPATTNS,NO,NO,YES,NO
DAVANGERE,NO,NO,NO,NO
DBCORP,NO,NO,NO,NO
DBL,NO,NO,NO,YES
DBOL,NO,NO,NO,NO
DBREALTY,NO,NO,NO,YES
DCAL,NO,NO,NO,NO
DCBBANK,NO,NO,NO,YES
DCI,NO,NO,NO,NO
DCMFINSERV,NO,NO,NO,NO
DCMNVL,NO,NO,NO,NO
